EPISODE_NUMBER,LAYER_1,LAYER_2,LAYER_3,LAYER_4,ACCURACY,LOSS,MODEL_MATCHED
episode_0,c_9,m_2,c_12,c_8,0.7997,0.6209799933,model_468
episode_1,c_9,c_5,c_9,c_12,0.7329,0.841494926,model_1216
episode_2,c_10,c_5,c_10,c_1,0.7188,0.8258259154,model_300
episode_3,c_11,m_2,c_3,c_4,0.7394,0.76344312,model_509
episode_4,c_2,c_1,c_12,c_9,0.7382,0.7760415648,model_1674
episode_5,c_12,c_10,c_7,s,0.721,0.8642348272,model_1937
episode_6,c_8,c_7,c_1,c_8,0.718,0.8496270252,model_982
episode_7,c_12,c_1,c_10,s,0.7286,0.8009406404,model_591
episode_8,c_8,c_4,m_1,c_4,0.7211,0.8572244132,model_322
episode_9,c_12,c_6,c_3,s,0.7058,0.8814715021,model_598
episode_10,c_1,c_5,c_10,c_11,0.7106,0.8695392657,model_1163
episode_11,c_3,c_6,m_1,c_1,0.6936,0.8744956475,model_1291
episode_12,m_3,c_11,c_5,c_1,0.7155,0.8676180531,model_1106
episode_13,c_4,m_3,m_2,m_3,0.5526,1.3038624155,model_1069
episode_14,c_10,c_6,c_8,c_7,0.7404,0.7633639668,model_1448
episode_15,c_12,m_2,m_3,m_2,0.716,0.8627252871,model_890
episode_16,c_8,s,-,-,0.6822,0.9504524675,model_1311
episode_16,c_8,s,-,-,0.6789,0.963030154,model_1614
episode_17,c_10,m_2,c_4,m_1,0.7081,0.8798062956,model_2019
episode_18,c_11,m_3,c_3,c_9,0.7661,0.7102178892,model_1442
episode_19,c_2,c_4,c_5,m_2,0.7147,0.8703783148,model_445
episode_20,c_2,m_2,s,-,0.7162,0.8563941421,model_414
episode_20,c_2,m_2,s,-,0.6895,0.9105828119,model_1132
episode_20,c_2,m_2,s,-,0.7069,0.8602899084,model_1744
episode_21,c_4,c_12,m_3,c_5,0.7744,0.6778273486,model_1324
episode_22,c_2,m_3,c_3,c_5,0.754,0.7534931206,model_388
episode_23,c_11,c_8,c_12,c_10,0.7457,0.7899988498,model_781
episode_24,c_6,c_2,c_3,m_2,0.7109,0.86905144,model_1111
