Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_3,m_2,c_5,c_1,c_2,0.6465,1.1460909034
model_6,c_3,m_1,m_3,m_3,0.5964,1.2042262806
model_12,c_1,c_10,c_5,c_8,0.6646,0.9628445576
model_13,c_1,c_7,s,-,0.6951,0.9032085704
model_15,c_3,c_1,m_2,m_1,0.6924,0.8841849092
model_21,c_11,c_10,s,-,0.6965,0.8950513916
model_23,c_7,c_9,c_5,c_12,0.6895,0.998207092
model_32,m_3,c_10,c_5,s,0.6909,0.9065854813
model_34,c_7,c_4,c_9,c_1,0.6956,0.8904698332
model_36,c_3,c_8,c_7,c_9,0.6969,0.8865173968
model_38,c_2,c_1,s,-,0.6945,0.899911047
model_39,c_6,c_11,c_4,s,0.6908,0.8864691418
model_41,c_12,s,-,-,0.6803,0.9452649376
model_46,c_8,c_4,s,-,0.6848,0.9017666427
model_48,c_1,c_2,c_9,c_4,0.6901,0.9030096557
model_53,c_6,s,-,-,0.6857,0.9753169553
model_66,m_1,c_4,c_10,m_1,0.6757,0.9214147032
model_68,m_2,m_2,c_1,m_2,0.6029,1.1740130949
model_70,c_8,c_3,c_2,c_8,0.6984,0.8682634302
model_72,c_2,c_1,c_4,c_10,0.6783,1.0622010723
model_116,c_8,c_2,s,-,0.6913,0.9116117841
model_117,c_3,m_3,m_3,c_2,0.6775,0.9138725137
model_119,c_3,c_4,c_4,c_9,0.6947,0.8988509561
model_129,c_4,c_7,c_7,c_1,0.6961,0.8853575271
model_131,c_10,c_8,m_2,c_4,0.6941,0.8685959763
model_135,c_6,c_4,c_9,m_3,0.6993,0.9162489613
model_136,c_4,m_1,c_1,m_1,0.6697,0.9707937905
model_145,m_1,c_6,c_10,s,0.6816,0.9332350018
model_147,c_8,m_3,m_3,c_4,0.6957,0.8646486259
model_167,c_7,s,-,-,0.6715,0.9897862665
model_170,m_2,c_4,c_2,c_8,0.6949,1.0345639352
model_185,c_10,m_2,m_3,m_3,0.6254,1.1108768763
model_188,c_11,c_10,c_7,s,0.6887,0.9549544148
model_199,c_9,m_1,m_3,m_3,0.6379,1.0747249052
model_207,c_1,m_3,m_2,c_5,0.6873,0.9039675798
model_209,m_3,c_10,c_5,s,0.6758,0.9614537455
model_218,c_5,c_10,c_1,c_10,0.6763,1.062360374
model_222,c_1,m_3,c_2,m_3,0.6492,1.0115236469
model_224,c_11,c_1,s,-,0.6648,0.9658538896
model_227,c_11,c_1,c_4,c_1,0.6785,0.9445960993
model_249,c_10,c_4,s,-,0.6833,0.9204417837
model_250,c_2,s,-,-,0.6772,0.9486585265
model_261,c_5,c_4,c_2,c_7,0.6924,0.8891858989
model_265,m_3,c_4,c_10,c_10,0.6823,0.9788202216
model_267,c_4,c_4,c_5,c_2,0.6982,0.8750688059
model_275,c_1,s,-,-,0.6824,0.9222057566
model_279,c_2,c_2,c_7,c_5,0.688,0.9089412266
model_283,c_2,m_1,s,-,0.6753,0.9746115293
model_289,c_7,c_9,c_4,c_10,0.6996,1.0208803638
model_290,c_12,c_3,c_5,c_7,0.6976,0.8938247784
model_293,c_8,c_11,s,-,0.6823,0.9216693419
model_302,c_2,m_2,c_10,s,0.6766,0.9373821104
model_304,c_5,c_1,c_12,c_5,0.6982,0.8766896343
model_311,c_2,c_8,s,-,0.6823,0.9128388451
model_334,c_3,c_6,c_1,m_2,0.6813,0.9156428357
model_349,c_2,c_9,s,-,0.6842,0.9562252809
model_353,m_1,c_11,c_5,c_1,0.6889,0.9263060624
model_354,c_11,s,-,-,0.6841,0.9466346931
model_360,c_5,c_2,c_1,m_1,0.6814,0.9465988613
model_366,c_7,c_9,c_12,s,0.6877,1.1091520389
model_367,c_1,m_3,c_6,c_2,0.6879,0.8919591462
model_374,c_3,c_4,c_3,c_4,0.6993,0.8921346931
model_377,c_4,s,-,-,0.671,0.9666766644
model_387,c_10,c_12,s,-,0.6784,0.955499087
model_390,c_10,c_9,s,-,0.6977,0.8804154019
model_402,c_2,c_6,s,-,0.6846,0.9086027359
model_420,c_2,c_10,m_1,m_1,0.6975,0.876191455
model_430,c_4,c_1,m_2,c_4,0.6859,0.9174356491
model_431,s,-,-,-,0.6474,1.0799983957
model_437,m_3,m_2,c_8,c_8,0.6115,1.1204720823
model_439,c_2,c_1,c_5,m_3,0.6968,0.8917115691
model_440,c_5,m_1,c_4,s,0.6928,0.9054875896
model_441,c_9,c_4,c_1,m_1,0.6852,0.8985059433
model_444,c_6,c_4,s,-,0.6731,0.937131893
model_451,c_4,m_2,c_8,m_3,0.6997,0.867899388
model_453,c_9,c_1,c_10,m_2,0.6978,0.8862281027
model_456,c_1,c_3,s,-,0.6738,0.9468688019
model_461,c_1,c_1,m_1,m_3,0.6966,0.8699290098
model_463,c_7,c_11,c_5,c_2,0.6912,0.9032417877
model_478,c_8,c_10,s,-,0.6833,0.9534517008
model_480,m_2,c_7,c_9,c_7,0.6439,1.0997664968
model_486,c_4,c_5,c_9,s,0.6894,0.9741433499
model_488,c_5,c_6,c_5,c_10,0.6975,0.9000327958
model_493,c_7,c_7,c_4,c_1,0.695,0.9066148064
model_499,c_9,c_8,s,-,0.6966,0.9183194672
model_530,c_5,c_4,s,-,0.6963,0.8939770221
model_535,c_1,c_2,s,-,0.6868,0.9153530475
model_538,c_8,c_9,c_4,c_5,0.6956,0.9349837032
model_545,m_3,c_4,c_4,s,0.6661,0.9706869173
model_555,c_4,c_6,c_10,c_8,0.6974,0.9315878423
model_557,m_3,m_3,c_6,m_1,0.5628,1.2633355331
model_563,m_2,m_3,c_10,c_4,0.6055,1.1048950537
model_568,c_1,c_4,c_9,c_7,0.697,0.9077306472
model_577,c_10,c_1,c_1,s,0.678,0.9409360253
model_578,c_7,c_1,s,-,0.6927,0.8959290362
model_582,c_6,m_3,c_5,m_3,0.6974,0.8770744408
model_587,c_3,c_3,c_9,c_9,0.6872,0.9683933246
model_588,m_2,c_11,c_5,c_8,0.6882,0.9865821917
model_592,m_1,c_3,c_8,s,0.6981,0.8838760382
model_608,m_2,c_6,s,-,0.6567,0.9775770565
model_614,m_3,c_10,c_7,c_7,0.6776,0.9702260115
model_619,m_3,c_8,c_11,c_4,0.6688,0.9841967431
model_620,c_4,m_1,m_3,c_4,0.6914,0.9267254698
model_623,c_6,c_7,c_3,c_10,0.6914,0.9151867539
model_636,c_2,c_3,c_3,c_7,0.6972,0.9558325523
model_637,m_2,m_2,c_9,s,0.6511,0.993435927
model_646,c_4,c_5,c_4,c_7,0.6909,0.9258806195
model_650,c_11,c_5,c_7,c_7,0.6933,0.9505916556
model_656,c_4,c_11,s,-,0.6618,0.9843284395
model_667,c_5,c_2,m_1,c_11,0.6695,0.943836349
model_678,c_9,c_8,c_6,m_2,0.6722,0.9478046306
model_682,c_11,c_4,c_10,c_7,0.6954,0.9216839712
model_689,c_2,m_2,c_1,s,0.6993,0.8834669091
model_691,m_3,s,-,-,0.6918,0.8995718562
model_698,m_1,m_2,c_4,c_5,0.6725,0.9412686082
model_716,m_3,c_4,c_9,s,0.6867,0.9399844211
model_717,c_8,c_1,c_4,c_1,0.6849,0.9652672208
model_728,m_1,m_1,c_9,m_2,0.6532,1.0735372005
model_729,m_1,c_4,c_1,m_3,0.6405,1.0190469763
