Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1166,c_11,c_6,c_12,c_2,Unknown,Unknown
model_1167,c_4,c_1,c_8,c_9,Unknown,Unknown
model_1168,c_2,c_2,c_8,c_10,Unknown,Unknown
model_1169,c_6,c_6,m_3,c_6,Unknown,Unknown
model_1170,c_4,c_10,c_12,m_3,Unknown,Unknown
model_1171,c_7,c_3,c_2,c_2,Unknown,Unknown
model_1172,c_12,c_6,c_5,c_11,Unknown,Unknown
model_1173,c_8,c_11,c_10,c_1,Unknown,Unknown
model_1174,c_3,c_10,c_2,m_1,Unknown,Unknown
model_1175,c_5,c_9,c_8,m_2,Unknown,Unknown
model_1176,c_6,m_3,c_6,c_11,Unknown,Unknown
model_1177,c_4,c_3,m_2,c_6,Unknown,Unknown
model_1178,c_4,c_2,c_4,c_10,Unknown,Unknown
model_1179,c_9,c_12,c_4,c_9,Unknown,Unknown
model_1180,c_8,m_1,m_3,c_8,Unknown,Unknown
model_1181,c_10,m_1,c_3,m_2,Unknown,Unknown
model_1182,c_3,m_3,c_1,c_5,Unknown,Unknown
model_1183,c_3,c_5,c_9,c_7,Unknown,Unknown
model_1184,c_6,c_3,c_6,c_10,Unknown,Unknown
model_1185,c_1,m_3,c_1,c_2,Unknown,Unknown
model_1186,c_3,c_12,c_9,c_3,Unknown,Unknown
model_1187,c_6,c_11,c_11,c_8,Unknown,Unknown
model_1188,c_12,m_1,c_7,c_2,Unknown,Unknown
model_1189,c_9,c_11,m_1,c_4,Unknown,Unknown
model_1190,c_9,m_2,m_1,c_5,Unknown,Unknown
model_1191,c_9,c_12,m_3,c_5,Unknown,Unknown
model_1192,c_5,c_4,m_2,c_5,Unknown,Unknown
model_1193,c_6,c_7,c_12,m_3,Unknown,Unknown
model_1194,c_1,c_5,c_7,c_10,Unknown,Unknown
model_1195,c_12,c_3,c_11,m_3,Unknown,Unknown
model_1196,c_3,c_4,c_3,m_3,Unknown,Unknown
model_1197,c_3,c_1,c_2,c_7,Unknown,Unknown
model_1198,c_5,c_9,c_4,c_3,Unknown,Unknown
model_1199,c_5,c_7,c_5,c_4,Unknown,Unknown
model_1200,c_4,c_12,c_8,c_6,Unknown,Unknown
model_1201,c_4,c_1,c_9,c_6,Unknown,Unknown
model_1202,c_5,c_11,m_1,c_10,Unknown,Unknown
model_1203,c_7,c_3,c_9,c_6,Unknown,Unknown
model_1204,c_9,c_8,c_1,c_3,Unknown,Unknown
model_1205,c_4,c_8,c_9,c_4,Unknown,Unknown
model_1206,c_7,c_1,c_11,c_8,Unknown,Unknown
model_1207,c_11,c_8,c_1,c_11,Unknown,Unknown
model_1208,c_9,c_10,c_12,c_6,Unknown,Unknown
model_1209,c_7,c_12,c_4,c_4,Unknown,Unknown
model_1210,c_12,c_3,c_2,c_1,Unknown,Unknown
model_1211,c_6,c_6,c_10,c_11,Unknown,Unknown
model_1212,c_4,c_4,c_5,m_2,Unknown,Unknown
model_1213,c_3,c_12,c_3,c_9,Unknown,Unknown
model_1214,c_11,c_4,m_2,m_2,Unknown,Unknown
model_1215,c_12,c_2,c_9,c_8,Unknown,Unknown
model_1216,c_10,c_12,c_2,c_1,Unknown,Unknown
model_1217,c_1,c_6,c_10,c_2,Unknown,Unknown
model_1218,c_3,c_3,m_2,m_2,Unknown,Unknown
model_1219,c_4,m_2,c_12,c_6,Unknown,Unknown
model_1220,c_8,c_5,s,-,Unknown,Unknown
model_1221,c_7,c_7,m_2,c_1,Unknown,Unknown
model_1222,c_5,c_12,c_11,c_3,Unknown,Unknown
model_1223,c_11,c_10,c_6,c_7,Unknown,Unknown
model_1224,c_4,c_5,s,-,Unknown,Unknown
model_1225,c_9,c_5,c_3,c_9,Unknown,Unknown
model_1226,c_8,c_1,c_8,c_6,Unknown,Unknown
model_1227,c_12,c_10,c_7,c_1,Unknown,Unknown
model_1228,c_12,c_9,s,-,Unknown,Unknown
model_1229,c_10,c_6,c_6,c_4,Unknown,Unknown
model_1230,c_11,c_2,c_12,c_5,Unknown,Unknown
model_1231,c_2,m_3,m_1,c_12,Unknown,Unknown
model_1232,c_4,c_10,c_12,c_4,Unknown,Unknown
model_1233,c_11,c_11,c_2,c_11,Unknown,Unknown
model_1234,c_5,c_5,c_6,m_2,Unknown,Unknown
model_1235,c_1,c_4,m_1,c_10,Unknown,Unknown
model_1236,m_3,m_2,c_3,m_3,Unknown,Unknown
model_1237,m_1,c_1,c_5,c_4,Unknown,Unknown
model_1238,c_10,c_2,m_3,c_2,Unknown,Unknown
model_1239,c_4,c_4,c_4,c_12,Unknown,Unknown
model_1240,c_12,c_7,c_8,m_3,Unknown,Unknown
model_1241,c_7,c_9,m_1,c_7,Unknown,Unknown
model_1242,c_5,c_12,c_1,c_7,Unknown,Unknown
model_1243,c_10,m_3,c_10,c_6,Unknown,Unknown
model_1244,c_1,c_2,c_5,c_3,Unknown,Unknown
model_1245,c_5,c_10,c_9,c_7,Unknown,Unknown
model_1246,c_9,c_10,c_10,c_7,Unknown,Unknown
model_1247,c_1,c_4,m_1,c_5,Unknown,Unknown
model_1248,c_7,c_5,c_10,c_12,Unknown,Unknown
model_1249,c_12,m_2,c_5,c_6,Unknown,Unknown
model_1250,c_10,c_10,c_6,c_2,Unknown,Unknown
model_1251,c_3,c_10,c_1,c_7,Unknown,Unknown
model_1252,m_1,c_11,c_3,c_9,Unknown,Unknown
model_1253,c_6,c_1,c_9,c_1,Unknown,Unknown
model_1254,c_11,c_10,c_12,c_9,Unknown,Unknown
model_1255,c_9,c_2,c_9,m_1,Unknown,Unknown
model_1256,c_8,c_2,c_8,c_5,Unknown,Unknown
model_1257,c_5,c_3,c_9,c_10,Unknown,Unknown
model_1258,c_4,c_9,c_4,c_12,Unknown,Unknown
model_1259,c_1,c_2,c_9,c_5,Unknown,Unknown
model_1260,c_2,c_9,c_7,s,Unknown,Unknown
model_1261,c_8,c_2,c_7,c_4,Unknown,Unknown
model_1262,c_3,c_11,c_8,s,Unknown,Unknown
model_1263,c_1,c_6,c_8,c_7,Unknown,Unknown
model_1264,c_1,m_1,c_11,s,Unknown,Unknown
model_1265,c_11,c_1,m_3,s,Unknown,Unknown
model_1266,c_8,c_9,c_1,m_1,Unknown,Unknown
model_1267,c_8,c_5,m_3,c_8,Unknown,Unknown
model_1268,m_3,c_2,c_11,c_5,Unknown,Unknown
model_1269,c_1,c_1,m_2,c_9,Unknown,Unknown
model_1270,c_10,c_11,c_12,c_6,Unknown,Unknown
model_1271,c_4,c_4,c_9,c_9,Unknown,Unknown
model_1272,m_3,c_6,m_2,s,Unknown,Unknown
model_1273,c_11,m_3,c_9,c_6,Unknown,Unknown
model_1274,c_9,c_1,c_2,c_1,Unknown,Unknown
