Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1471,c_11,m_2,m_2,c_10,0.963,0.13926013
model_1472,c_1,m_1,c_8,m_3,0.9683,0.10915587
model_1473,c_5,c_3,m_1,c_9,0.9738,0.085777074
model_1474,c_5,c_7,s,-,0.9771,0.07350419
model_1475,c_10,m_1,c_5,s,0.9663,0.11300588
model_1476,c_7,c_3,c_4,c_1,0.9803,0.059541855
model_1477,c_12,c_1,c_5,c_6,0.9805,0.058275245
model_1478,c_3,m_3,c_10,c_4,0.9723,0.09237271
model_1479,c_10,m_1,s,-,0.9451,0.18713032
model_1480,c_9,c_10,c_8,c_11,0.98,0.05998618
model_1481,c_12,c_3,m_3,c_12,0.9802,0.061961338
model_1482,c_1,c_8,c_5,c_11,0.979,0.06427951
model_1483,c_2,c_6,c_9,c_4,0.9808,0.060487118
model_1484,c_4,c_6,m_1,c_11,0.9749,0.0865223
model_1485,c_7,c_6,m_3,c_12,0.9811,0.060532443
model_1486,c_7,c_1,c_3,c_3,0.9811,0.059130065
model_1487,c_7,c_10,c_10,c_11,0.98,0.060842495
model_1488,c_3,c_3,c_3,m_1,0.9784,0.06483513
model_1489,c_11,c_7,c_4,c_10,0.9792,0.06364325
model_1490,c_1,c_6,s,-,0.9762,0.071903825
model_1491,c_5,c_11,c_11,c_4,0.9794,0.06342187
model_1492,m_3,c_9,c_11,s,0.8721,0.39366898
model_1493,c_6,c_8,c_7,c_2,0.9793,0.06330469
model_1494,c_11,c_7,c_7,s,0.9795,0.06253601
model_1495,c_5,m_3,c_8,c_6,0.9655,0.11332933
model_1496,c_4,c_4,m_2,c_4,0.9703,0.09854527
model_1497,c_5,c_12,c_12,c_12,0.9811,0.05931034
model_1498,c_10,m_1,c_9,c_11,0.9655,0.110870495
model_1499,c_5,c_7,c_3,c_6,0.9799,0.06432005
model_1500,c_8,c_3,c_9,m_2,0.9793,0.061932243
