Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1558,c_4,c_5,c_6,c_5,0.9804,0.05940316
model_1559,c_7,m_2,c_6,c_4,0.9643,0.11689243
model_1560,c_6,c_8,c_1,c_7,0.9806,0.06349257
model_1561,c_3,c_3,c_1,c_1,0.9789,0.06657971
model_1562,c_2,c_8,m_3,c_4,0.9807,0.06647137
model_1563,c_12,c_3,c_6,c_6,0.9783,0.066199
model_1564,c_12,c_11,m_3,c_4,0.9799,0.06859865
model_1565,c_2,c_8,c_12,c_5,0.9802,0.062010348
model_1566,c_11,c_4,c_4,s,0.9792,0.061011273
model_1567,c_7,c_12,s,-,0.9767,0.07346752
model_1568,c_11,c_9,m_3,c_9,0.9822,0.05674771
model_1569,c_5,c_11,c_12,c_2,0.9813,0.06003616
model_1570,c_4,c_7,m_1,c_4,0.9718,0.09290362
model_1571,c_5,m_2,m_3,m_1,0.929,0.2831033
model_1572,c_2,c_1,c_10,c_8,0.9818,0.059517503
model_1573,c_1,c_3,c_6,c_3,0.9804,0.056933537
model_1574,c_8,c_3,c_7,c_4,0.9801,0.060111612
model_1575,c_1,c_6,c_7,s,0.9801,0.060518574
model_1576,c_6,c_5,c_5,c_5,0.9789,0.06509986
model_1577,c_6,c_8,m_2,c_8,0.974,0.08472196
model_1578,c_4,c_6,m_2,c_8,0.9785,0.06858904
model_1579,c_2,c_6,c_7,c_2,0.981,0.060626227
model_1580,c_10,m_2,c_8,c_4,0.9633,0.11901236
model_1581,c_7,m_3,c_6,m_2,0.9552,0.15919858
model_1582,c_5,m_3,c_1,c_3,0.9687,0.106106915
model_1583,c_10,m_3,m_3,s,0.6107,1.5085288
model_1584,c_5,c_9,c_8,m_1,0.9796,0.06438021
model_1585,c_10,c_5,c_9,c_7,0.9799,0.060814966
model_1586,c_8,m_3,c_12,c_4,0.9715,0.09778714
model_1587,c_1,c_2,c_5,c_10,0.9809,0.05807766
model_1588,c_2,c_2,c_10,c_8,0.9806,0.060171526
model_1589,c_12,c_6,s,-,0.9768,0.07466102
model_1590,c_9,c_4,c_6,c_4,0.9786,0.0612897
model_1591,c_4,c_10,c_4,c_6,0.9808,0.0586778
model_1592,c_3,m_2,c_8,c_9,0.9685,0.10287824
model_1593,m_2,m_2,c_4,c_6,0.7124,0.87268424
model_1594,c_1,c_1,c_11,c_6,0.9804,0.058347
model_1595,c_6,m_1,c_5,c_3,0.9694,0.10502276
model_1596,c_2,c_9,c_5,c_9,0.9792,0.061832912
model_1597,c_2,c_6,c_10,m_1,0.9809,0.06033196
model_1598,c_3,c_4,c_8,m_3,0.9792,0.06397098
model_1599,c_9,c_3,s,-,0.9771,0.07110166
model_1600,c_12,c_7,s,-,0.9771,0.072672024
model_1601,c_5,c_7,c_4,c_1,0.9818,0.059050348
model_1602,c_10,c_5,c_8,c_9,0.9813,0.058638982
model_1603,c_4,c_8,c_2,c_12,0.9797,0.06449202
model_1604,c_10,c_12,c_10,c_3,0.9809,0.060556363
model_1605,c_10,m_1,m_2,c_5,0.9416,0.21789317
model_1606,c_8,c_2,c_7,c_4,0.9808,0.059057858
model_1607,c_3,c_7,c_7,c_4,0.9805,0.06426619
model_1608,c_8,m_3,c_10,c_5,0.9672,0.10918498
model_1609,c_6,c_4,m_2,s,0.9715,0.09287151
model_1610,c_7,c_1,c_12,c_3,0.9806,0.059634503
model_1611,c_3,c_4,c_7,s,0.9806,0.06053432
model_1612,c_8,c_8,s,-,0.9778,0.06999418
model_1613,c_7,c_12,m_1,c_9,0.9737,0.0859404
model_1614,c_8,s,-,-,0.962,0.13284324
model_1615,c_8,c_9,m_1,m_2,0.9734,0.08434257
model_1616,c_5,c_12,s,-,0.9772,0.07202849
model_1617,c_12,c_7,c_2,c_3,0.979,0.0656665
model_1618,c_12,c_5,c_11,c_5,0.9797,0.06013309
model_1619,c_1,c_1,c_8,c_7,0.9807,0.05643825
model_1620,c_10,c_10,c_5,c_6,0.981,0.060498532
model_1621,c_11,c_5,c_7,m_2,0.9818,0.059611633
model_1622,c_8,c_2,c_7,c_3,0.9803,0.059192095
model_1623,c_2,c_7,c_12,c_5,0.9796,0.06289433
model_1624,c_8,c_1,m_1,m_3,0.9723,0.09075532
model_1625,m_1,c_6,c_8,c_10,0.9579,0.14375664
model_1626,c_8,m_3,c_5,c_4,0.9698,0.10102647
model_1627,c_5,c_12,c_8,c_6,0.9815,0.05939395
model_1628,c_9,c_6,c_11,c_6,0.9811,0.06269971
model_1629,c_12,c_1,c_6,c_1,0.9816,0.059453186
model_1630,c_3,s,-,-,0.9637,0.12989098
model_1631,c_1,c_11,c_2,c_1,0.9808,0.05980442
model_1632,c_8,c_11,c_7,m_2,0.9797,0.05951972
model_1633,c_7,c_3,c_3,m_1,0.9792,0.064038515
model_1634,c_1,c_10,c_12,c_9,0.9808,0.05908581
model_1635,c_4,c_7,c_9,c_4,0.9798,0.06342235
model_1636,c_9,m_1,c_7,c_4,0.9687,0.107610956
model_1637,c_1,m_3,m_1,s,0.9377,0.26260978
model_1638,c_11,c_4,c_11,m_1,0.9812,0.060428064
model_1639,c_1,s,-,-,0.9575,0.14356542
model_1640,c_5,m_2,c_7,c_11,0.9665,0.111156255
model_1641,c_4,s,-,-,0.9587,0.13953258
model_1642,c_3,c_3,c_5,c_9,0.979,0.06330294
model_1643,c_1,c_8,m_3,c_8,0.9807,0.063888766
model_1644,c_12,m_1,c_10,s,0.9675,0.10762397
model_1645,c_5,c_7,m_1,m_3,0.9733,0.0913797
model_1646,c_11,c_2,c_8,m_3,0.979,0.06407128
model_1647,c_9,m_2,m_3,c_8,0.9482,0.20749582
model_1648,c_3,c_7,c_1,c_8,0.9802,0.060714714
model_1649,c_4,m_2,c_12,m_1,0.964,0.116649106
model_1650,c_4,c_9,m_1,c_9,0.9738,0.08689149
model_1651,c_2,c_1,c_12,m_3,0.9799,0.060158882
model_1652,c_9,c_8,c_6,c_6,0.9782,0.06363148
model_1653,c_5,c_11,c_5,m_2,0.9811,0.058560528
model_1654,c_11,c_2,c_9,c_1,0.9808,0.06023071
model_1655,c_10,c_7,c_6,s,0.981,0.060294967
model_1656,c_9,c_7,c_10,c_8,0.9792,0.06128212
model_1657,c_9,m_2,c_3,c_4,0.9681,0.10589224
model_1658,c_7,c_3,c_10,m_2,0.9786,0.062801756
model_1659,m_2,s,-,-,0.8887,0.41835153
model_1660,c_10,m_1,c_2,c_7,0.9649,0.1134663
model_1661,c_10,c_2,c_11,s,0.9811,0.061697647
model_1662,c_4,c_6,m_1,c_9,0.972,0.09117287
model_1663,c_4,c_6,c_4,c_4,0.9808,0.0590283
model_1664,c_12,c_9,c_7,s,0.9808,0.061621655
model_1665,c_6,c_7,c_4,c_1,0.9806,0.059524693
