Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_0,c_4,c_12,m_1,c_1,0.9741,0.08235037
model_1,c_4,c_10,c_7,c_1,0.9804,0.060326934
model_2,c_6,m_2,c_1,c_3,0.9664,0.11154484
model_3,c_3,c_3,m_1,c_2,0.9722,0.08821661
model_4,c_1,c_5,c_4,c_11,0.9803,0.058188275
model_5,c_7,m_1,c_6,c_9,0.9665,0.1097349
model_6,c_4,c_8,m_1,m_2,0.9722,0.089431845
model_7,c_6,c_3,c_10,c_2,0.9812,0.064733535
model_8,c_2,c_5,m_1,s,0.9727,0.0875951
model_9,c_1,c_3,c_9,c_4,0.9791,0.06395141
model_1,m_1,c_3,c_8,c_12
model_2,c_6,c_12,m_3,s
model_3,c_11,c_4,m_1,c_3
model_4,c_9,c_10,m_2,m_3
model_5,c_7,c_2,c_6,m_3
model_6,c_8,m_2,c_7,m_2
model_7,c_7,m_1,c_3,m_1
model_8,c_4,s,-,-
model_9,c_9,c_7,m_1,c_4
model_10,c_2,c_10,c_2,m_1
model_68,c_5,c_5,s,-,0.4209,2.1888797
model_69,c_7,m_1,c_7,c_3,0.4697,2.2423222
model_60,c_10,c_8,m_2,c_11,0.1526,2.2580414
model_61,c_9,c_3,c_8,m_2,0.4042,2.2279377
model_62,c_8,c_11,m_2,c_3,0.3746,2.221333
model_63,c_1,c_12,c_3,c_7,0.3729,2.193437
model_64,c_3,c_9,c_3,c_7,0.4803,2.1876853
model_65,c_3,c_1,m_2,c_4,0.3481,2.2626188
model_66,c_11,c_5,c_11,c_5,0.3228,2.278833
model_67,c_11,c_12,c_4,c_6,0.3815,2.2488112
