Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1001,c_10,m_3,m_2,c_10,Unknown,Unknown
model_1002,c_5,c_6,s,-,Unknown,Unknown
model_1003,c_4,c_12,m_3,c_6,Unknown,Unknown
model_1004,c_6,c_8,c_2,c_9,Unknown,Unknown
model_1005,c_12,c_10,c_12,s,Unknown,Unknown
model_1006,c_5,c_12,m_3,m_1,Unknown,Unknown
model_1007,c_11,m_2,c_10,s,Unknown,Unknown
model_1008,c_2,m_3,c_8,c_6,Unknown,Unknown
model_1009,c_6,c_6,m_2,m_2,Unknown,Unknown
model_1010,c_11,c_2,s,-,Unknown,Unknown
model_1011,c_11,c_8,c_12,c_7,Unknown,Unknown
model_1012,c_6,c_8,c_12,c_8,Unknown,Unknown
model_1013,c_3,m_1,m_3,m_2,Unknown,Unknown
model_1014,c_2,m_2,c_10,c_6,Unknown,Unknown
model_1015,c_10,m_3,c_11,s,Unknown,Unknown
model_1016,c_6,c_10,c_11,c_10,Unknown,Unknown
model_1017,c_11,c_4,c_10,m_1,Unknown,Unknown
model_1018,c_2,c_1,c_12,c_8,Unknown,Unknown
model_1019,c_1,c_8,c_7,m_3,Unknown,Unknown
model_1020,c_12,c_7,c_3,c_11,Unknown,Unknown
model_1021,c_9,m_3,c_8,c_11,Unknown,Unknown
model_1022,c_5,c_1,m_1,c_4,Unknown,Unknown
model_1023,c_5,c_6,c_10,m_1,Unknown,Unknown
model_1024,c_2,c_3,c_10,c_8,Unknown,Unknown
model_1025,c_4,c_2,c_9,c_7,Unknown,Unknown
model_1026,c_6,c_11,c_4,c_9,Unknown,Unknown
model_1027,c_5,c_4,c_10,c_12,Unknown,Unknown
model_1028,c_9,c_2,c_10,c_8,Unknown,Unknown
model_1029,c_11,c_4,m_1,c_10,Unknown,Unknown
model_1030,c_10,c_6,m_1,c_9,Unknown,Unknown
model_1031,c_6,c_2,c_2,c_8,Unknown,Unknown
model_1032,c_6,c_5,c_2,c_11,Unknown,Unknown
model_1033,c_10,m_2,c_11,c_11,Unknown,Unknown
model_1034,c_2,c_5,c_4,c_3,Unknown,Unknown
model_1035,c_2,c_7,c_6,c_10,Unknown,Unknown
model_1036,c_6,c_11,c_4,s,Unknown,Unknown
model_1037,c_2,m_2,c_6,c_2,Unknown,Unknown
model_1038,c_4,m_3,m_1,c_7,Unknown,Unknown
model_1039,c_8,c_12,c_11,c_11,Unknown,Unknown
model_1040,c_11,m_2,c_1,c_7,Unknown,Unknown
model_1041,c_11,c_3,c_6,c_5,Unknown,Unknown
model_1042,c_10,c_7,c_5,c_10,Unknown,Unknown
model_1043,c_2,s,-,-,Unknown,Unknown
model_1044,c_8,c_8,c_12,c_9,Unknown,Unknown
model_1045,c_9,m_1,c_5,c_7,Unknown,Unknown
model_1046,c_8,m_3,c_12,c_12,Unknown,Unknown
model_1047,c_9,m_3,m_1,m_2,Unknown,Unknown
model_1048,c_1,m_2,c_5,c_5,Unknown,Unknown
model_1049,c_5,c_9,c_3,c_4,Unknown,Unknown
model_1050,c_3,c_3,c_4,c_10,Unknown,Unknown
model_1051,c_9,c_5,c_7,m_2,Unknown,Unknown
model_1052,c_7,c_12,m_2,c_5,Unknown,Unknown
model_1053,c_5,c_8,c_11,c_9,Unknown,Unknown
model_1054,c_5,c_2,c_6,c_7,Unknown,Unknown
model_1055,c_2,c_8,c_10,c_12,Unknown,Unknown
model_1056,c_5,c_10,c_9,-,Unknown,Unknown
model_1057,c_3,c_2,s,-,Unknown,Unknown
model_1058,c_12,c_10,c_4,c_1,Unknown,Unknown
model_1059,c_9,c_4,m_1,c_9,Unknown,Unknown
model_1060,c_10,c_5,c_2,c_2,Unknown,Unknown
model_1061,c_7,c_1,c_3,c_1,Unknown,Unknown
model_1062,c_5,m_2,c_1,c_6,Unknown,Unknown
model_1063,c_11,c_12,c_2,c_7,Unknown,Unknown
model_1064,c_6,c_2,c_2,c_11,Unknown,Unknown
model_1065,c_11,c_8,c_12,c_1,Unknown,Unknown
model_1066,c_12,c_12,c_7,c_7,Unknown,Unknown
model_1067,c_4,c_2,c_10,c_11,Unknown,Unknown
model_1068,c_1,c_11,c_11,c_4,Unknown,Unknown
model_1069,c_4,m_3,m_2,m_3,Unknown,Unknown
model_1070,m_1,c_6,m_2,c_6,Unknown,Unknown
model_1071,c_2,c_7,c_2,c_5,Unknown,Unknown
model_1072,c_7,c_6,c_2,c_7,Unknown,Unknown
model_1073,c_1,c_11,c_5,c_2,Unknown,Unknown
model_1074,c_5,c_12,c_11,c_7,Unknown,Unknown
model_1075,c_1,c_8,c_12,c_2,Unknown,Unknown
model_1076,c_4,c_3,c_6,c_8,Unknown,Unknown
model_1077,c_6,m_3,c_12,m_2,Unknown,Unknown
model_1078,c_5,c_3,c_1,c_2,Unknown,Unknown
model_1079,m_3,s,-,-,Unknown,Unknown
model_1080,c_4,m_1,m_3,m_3,Unknown,Unknown
model_1081,c_2,c_9,c_7,c_12,Unknown,Unknown
model_1082,c_6,c_6,c_9,c_9,Unknown,Unknown
model_1083,c_10,m_3,c_9,m_3,Unknown,Unknown
model_1084,c_12,m_1,c_9,c_4,Unknown,Unknown
model_1085,c_11,c_3,c_12,c_5,Unknown,Unknown
model_1086,c_9,c_8,c_12,c_6,Unknown,Unknown
model_1087,c_8,c_6,c_6,c_5,Unknown,Unknown
model_1088,c_3,c_12,m_3,c_1,Unknown,Unknown
model_1089,c_9,c_11,c_7,m_3,Unknown,Unknown
model_1090,c_6,c_2,m_3,c_12,Unknown,Unknown
model_1091,c_11,c_4,c_10,c_4,Unknown,Unknown
model_1092,c_5,c_8,m_2,c_1,Unknown,Unknown
model_1093,c_2,c_5,m_3,c_6,Unknown,Unknown
model_1094,c_10,c_5,m_2,m_2,Unknown,Unknown
model_1095,c_4,c_6,m_2,c_10,Unknown,Unknown
model_1096,c_5,c_7,c_11,c_5,Unknown,Unknown
model_1097,c_8,c_12,c_5,m_2,Unknown,Unknown
model_1098,c_9,c_6,m_1,m_2,Unknown,Unknown
model_1099,c_6,c_4,c_12,c_11,Unknown,Unknown
model_1100,c_9,m_3,m_3,c_6,Unknown,Unknown
model_1101,c_5,c_10,m_2,c_5,Unknown,Unknown
model_1102,c_3,c_4,c_12,c_6,Unknown,Unknown
model_1103,c_3,c_7,c_10,c_2,Unknown,Unknown
model_1104,c_6,c_2,c_10,c_10,Unknown,Unknown
model_1105,c_4,c_1,c_9,m_1,Unknown,Unknown
model_1106,m_3,c_11,c_5,c_1,Unknown,Unknown
model_1107,c_10,c_1,m_2,s,Unknown,Unknown
model_1108,c_2,c_7,c_4,c_4,Unknown,Unknown
model_1109,c_1,c_6,c_7,m_3,Unknown,Unknown
model_1110,c_6,c_12,c_1,m_1,Unknown,Unknown
model_1111,c_6,c_2,c_3,m_2,Unknown,Unknown
model_1112,c_11,c_12,c_9,c_9,Unknown,Unknown
model_1113,c_1,c_9,m_2,m_3,Unknown,Unknown
model_1114,c_6,c_9,c_11,c_7,Unknown,Unknown
model_1115,c_6,m_2,c_4,c_1,Unknown,Unknown
