Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_100,c_1,c_3,c_9,c_9,Unknown,Unknown
model_101,c_7,m_2,c_5,c_6,Unknown,Unknown
model_102,c_8,c_2,c_3,c_10,Unknown,Unknown
model_103,c_11,c_1,c_11,c_5,Unknown,Unknown
model_104,c_8,c_11,c_5,c_3,Unknown,Unknown
model_105,c_5,m_3,m_2,c_12,Unknown,Unknown
model_106,c_5,m_1,c_11,c_7,Unknown,Unknown
model_107,c_8,c_6,c_3,m_3,Unknown,Unknown
model_108,c_1,c_1,c_12,c_11,Unknown,Unknown
model_109,c_5,c_10,c_9,c_6,Unknown,Unknown
model_110,c_3,c_8,c_8,m_2,Unknown,Unknown
model_111,c_6,c_5,c_7,m_3,Unknown,Unknown
model_112,c_6,c_1,c_6,c_12,Unknown,Unknown
model_113,c_12,m_3,c_4,c_2,Unknown,Unknown
model_114,c_1,c_1,c_4,s,Unknown,Unknown
model_115,c_7,c_3,c_1,c_2,Unknown,Unknown
model_116,c_8,c_2,s,-,Unknown,Unknown
model_117,c_3,m_3,m_3,c_2,Unknown,Unknown
model_118,c_3,c_5,c_11,m_2,Unknown,Unknown
model_119,c_3,c_4,c_4,c_9,Unknown,Unknown
model_120,c_6,c_3,c_12,c_3,Unknown,Unknown
model_121,c_8,c_11,m_2,s,Unknown,Unknown
model_122,c_10,c_1,c_8,s,Unknown,Unknown
model_123,c_6,c_1,c_7,c_3,Unknown,Unknown
model_124,c_3,c_2,m_2,m_1,Unknown,Unknown
model_125,c_1,c_7,c_6,c_8,Unknown,Unknown
model_126,c_5,c_4,c_4,c_11,Unknown,Unknown
model_127,c_5,c_11,c_11,c_4,Unknown,Unknown
model_128,c_3,m_3,c_2,m_3,Unknown,Unknown
model_129,c_4,c_7,c_7,c_1,Unknown,Unknown
model_130,c_9,c_3,s,-,Unknown,Unknown
model_131,c_10,c_8,m_2,c_4,Unknown,Unknown
model_132,c_4,c_5,c_8,c_7,Unknown,Unknown
model_133,c_11,c_7,c_5,c_10,Unknown,Unknown
model_134,c_10,c_6,c_6,-,Unknown,Unknown
model_135,c_6,c_4,c_9,m_3,Unknown,Unknown
model_136,c_4,m_1,c_1,m_1,Unknown,Unknown
model_137,c_11,m_1,s,-,Unknown,Unknown
model_138,c_9,c_9,c_3,c_11,Unknown,Unknown
model_139,c_4,c_10,c_7,c_9,Unknown,Unknown
model_140,c_7,m_1,m_2,c_6,Unknown,Unknown
model_141,c_10,c_5,c_7,c_9,Unknown,Unknown
model_142,c_4,c_8,m_3,c_9,Unknown,Unknown
model_143,c_11,c_3,m_1,-,Unknown,Unknown
model_144,c_12,c_4,m_1,c_2,Unknown,Unknown
model_145,m_1,c_6,c_10,s,Unknown,Unknown
model_146,c_11,c_1,m_1,c_7,Unknown,Unknown
model_147,c_8,m_3,m_3,c_4,Unknown,Unknown
model_148,c_9,c_1,c_4,c_5,Unknown,Unknown
model_149,c_2,c_6,c_2,c_7,Unknown,Unknown
model_150,c_2,c_7,c_1,c_4,Unknown,Unknown
model_151,c_2,m_2,c_11,c_5,Unknown,Unknown
model_152,c_8,c_11,c_10,c_2,Unknown,Unknown
model_153,c_9,c_5,c_8,c_2,Unknown,Unknown
model_154,c_1,c_9,s,-,Unknown,Unknown
model_155,c_9,c_6,c_5,m_3,Unknown,Unknown
model_156,c_12,c_3,c_7,c_8,Unknown,Unknown
model_157,c_8,m_1,s,-,Unknown,Unknown
model_158,c_5,m_2,c_3,c_9,Unknown,Unknown
model_159,c_6,c_9,c_4,m_2,Unknown,Unknown
model_160,c_9,c_1,s,-,Unknown,Unknown
model_161,c_7,c_1,c_8,c_12,Unknown,Unknown
model_162,c_4,m_1,m_1,c_3,Unknown,Unknown
model_163,c_9,m_1,c_5,m_1,Unknown,Unknown
model_164,c_9,c_4,c_10,c_5,Unknown,Unknown
model_165,c_4,m_3,c_7,c_10,Unknown,Unknown
model_166,c_2,c_6,c_5,c_3,Unknown,Unknown
model_167,c_7,s,-,-,Unknown,Unknown
model_168,c_1,c_10,c_7,-,Unknown,Unknown
model_169,c_8,c_7,c_9,c_1,Unknown,Unknown
model_170,m_2,c_4,c_2,c_8,Unknown,Unknown
model_171,c_9,m_3,c_5,c_2,Unknown,Unknown
model_172,c_6,c_7,c_2,c_5,Unknown,Unknown
model_173,c_12,c_7,c_5,m_2,Unknown,Unknown
model_174,c_6,c_9,c_6,-,Unknown,Unknown
model_175,c_7,m_3,c_7,c_5,Unknown,Unknown
model_176,c_4,c_6,m_1,c_3,Unknown,Unknown
model_177,c_2,c_11,c_3,c_4,Unknown,Unknown
model_178,c_6,c_4,c_9,c_12,Unknown,Unknown
model_179,c_8,c_6,m_3,c_4,Unknown,Unknown
model_180,m_3,c_11,c_5,c_5,Unknown,Unknown
model_181,c_1,m_1,c_4,c_4,Unknown,Unknown
model_182,c_2,c_11,s,-,Unknown,Unknown
model_183,c_3,c_11,c_3,c_5,Unknown,Unknown
model_184,c_3,c_10,c_8,c_1,Unknown,Unknown
model_185,c_10,m_2,m_3,m_3,Unknown,Unknown
model_186,c_6,c_3,c_11,m_2,Unknown,Unknown
model_187,c_8,c_4,c_5,m_1,Unknown,Unknown
model_188,c_11,c_10,c_7,-,Unknown,Unknown
model_189,c_10,m_1,c_7,m_2,Unknown,Unknown
model_190,c_1,c_6,c_11,c_9,Unknown,Unknown
model_191,c_5,c_10,c_9,c_12,Unknown,Unknown
model_192,c_6,c_6,m_1,m_1,Unknown,Unknown
model_193,c_10,m_1,c_1,c_12,Unknown,Unknown
model_194,c_3,c_8,c_7,c_8,Unknown,Unknown
model_195,c_8,c_11,c_7,m_3,Unknown,Unknown
model_196,c_11,m_1,m_1,s,Unknown,Unknown
model_197,m_1,c_10,c_9,c_3,Unknown,Unknown
model_198,c_10,c_5,m_2,s,Unknown,Unknown
model_199,c_9,m_1,m_3,m_3,Unknown,Unknown
model_200,c_10,c_9,c_12,m_1,Unknown,Unknown
model_201,c_12,c_12,c_6,-,Unknown,Unknown
model_202,c_6,c_2,c_6,c_5,Unknown,Unknown
model_203,c_8,c_2,c_9,c_5,Unknown,Unknown
model_204,c_5,c_1,c_9,c_10,Unknown,Unknown
model_205,c_11,c_7,s,-,Unknown,Unknown
model_206,c_12,c_3,c_5,c_8,Unknown,Unknown
model_207,c_1,m_3,m_2,c_5,Unknown,Unknown
model_208,c_3,c_6,c_6,c_11,Unknown,Unknown
model_209,m_3,c_10,c_5,-,Unknown,Unknown
