Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1501,c_3,m_3,c_3,c_11,Unknown,Unknown
model_1502,c_7,m_1,c_12,c_12,Unknown,Unknown
model_1503,c_1,c_4,c_2,c_11,Unknown,Unknown
model_1504,c_9,m_3,c_8,c_8,Unknown,Unknown
model_1505,c_8,c_2,c_7,c_4,Unknown,Unknown
model_1506,c_5,m_1,c_2,c_10,Unknown,Unknown
model_1507,c_3,c_1,c_9,c_12,Unknown,Unknown
model_1508,c_5,c_1,c_8,c_5,Unknown,Unknown
model_1509,c_7,c_10,c_11,c_3,Unknown,Unknown
model_1510,c_10,c_1,m_3,c_3,Unknown,Unknown
model_1511,c_2,c_7,c_8,c_4,Unknown,Unknown
model_1512,c_5,c_2,c_2,c_6,Unknown,Unknown
model_1513,c_10,m_1,s,-,Unknown,Unknown
model_1514,c_10,c_11,c_12,c_12,Unknown,Unknown
model_1515,m_1,c_5,c_2,c_3,Unknown,Unknown
model_1516,c_9,s,-,-,Unknown,Unknown
model_1517,c_12,c_11,c_1,c_8,Unknown,Unknown
model_1518,c_2,c_3,c_2,c_4,Unknown,Unknown
model_1519,c_9,c_5,c_12,c_8,Unknown,Unknown
model_1520,c_1,c_7,c_8,c_9,Unknown,Unknown
model_1521,c_5,c_4,c_1,c_1,Unknown,Unknown
model_1522,c_4,c_8,c_3,c_3,Unknown,Unknown
model_1523,c_11,c_5,c_9,c_12,Unknown,Unknown
model_1524,c_11,c_7,s,-,Unknown,Unknown
model_1525,c_12,c_2,m_2,c_7,Unknown,Unknown
model_1526,c_10,m_1,c_11,s,Unknown,Unknown
model_1527,c_11,c_3,c_5,c_11,Unknown,Unknown
model_1528,c_3,c_6,c_7,s,Unknown,Unknown
model_1529,c_8,c_9,c_6,m_2,Unknown,Unknown
model_1530,c_9,c_6,c_10,s,Unknown,Unknown
model_1531,c_1,c_2,c_3,c_4,Unknown,Unknown
model_1532,c_8,m_3,c_2,s,Unknown,Unknown
model_1533,c_10,c_8,c_10,c_6,Unknown,Unknown
model_1534,c_2,c_1,c_1,c_10,Unknown,Unknown
model_1535,c_9,c_6,c_7,m_3,Unknown,Unknown
model_1536,c_10,c_8,m_3,c_5,Unknown,Unknown
model_1537,c_5,m_1,c_8,c_5,Unknown,Unknown
model_1538,c_7,c_10,c_8,c_2,Unknown,Unknown
model_1539,c_10,c_5,c_2,c_2,Unknown,Unknown
model_1540,c_9,c_9,c_2,c_7,Unknown,Unknown
model_1541,c_3,c_5,c_1,c_2,Unknown,Unknown
model_1542,c_2,c_8,c_4,c_11,Unknown,Unknown
model_1543,m_1,c_1,c_2,c_12,Unknown,Unknown
model_1544,m_1,c_1,c_9,c_8,Unknown,Unknown
model_1545,c_12,c_1,c_12,m_3,Unknown,Unknown
model_1546,c_9,c_6,m_1,m_3,Unknown,Unknown
model_1547,c_9,c_1,c_7,c_8,Unknown,Unknown
model_1548,c_11,m_3,c_7,m_1,Unknown,Unknown
model_1549,c_6,c_5,c_9,c_3,Unknown,Unknown
model_1550,c_2,m_3,c_4,c_4,Unknown,Unknown
model_1551,c_7,c_4,m_2,c_10,Unknown,Unknown
model_1552,m_1,c_3,m_1,m_3,Unknown,Unknown
model_1553,c_6,c_3,c_4,c_12,Unknown,Unknown
model_1554,c_7,c_10,c_12,c_4,Unknown,Unknown
model_1555,c_1,c_5,c_11,c_4,Unknown,Unknown
model_1556,c_5,c_6,c_1,c_5,Unknown,Unknown
model_1557,c_10,c_4,c_5,m_1,Unknown,Unknown
model_1558,c_5,c_3,m_3,c_4,Unknown,Unknown
model_1559,c_8,c_3,c_10,m_2,Unknown,Unknown
model_1560,c_2,c_2,c_3,m_3,Unknown,Unknown
model_1561,c_9,m_3,m_3,c_3,Unknown,Unknown
model_1562,m_2,c_8,m_3,c_2,Unknown,Unknown
model_1563,c_1,c_2,c_9,c_12,Unknown,Unknown
model_1564,c_6,c_1,c_7,c_1,Unknown,Unknown
model_1565,c_4,m_3,c_1,c_1,Unknown,Unknown
model_1566,c_3,c_9,c_5,c_10,Unknown,Unknown
model_1567,c_7,c_4,c_9,c_10,Unknown,Unknown
model_1568,c_6,c_1,c_1,c_5,Unknown,Unknown
model_1569,c_12,c_2,c_12,c_10,Unknown,Unknown
model_1570,c_3,c_4,m_3,c_12,Unknown,Unknown
model_1571,c_2,c_4,c_1,c_11,Unknown,Unknown
model_1572,c_4,c_6,c_5,c_7,Unknown,Unknown
model_1573,c_7,c_9,c_3,c_3,Unknown,Unknown
model_1574,c_1,c_6,c_6,c_10,Unknown,Unknown
model_1575,c_4,c_11,c_12,c_12,Unknown,Unknown
model_1576,c_4,c_8,c_4,c_3,Unknown,Unknown
model_1577,c_6,c_7,c_6,c_11,Unknown,Unknown
model_1578,c_11,m_1,c_10,m_3,Unknown,Unknown
model_1579,c_7,c_12,c_12,m_2,Unknown,Unknown
model_1580,c_8,m_3,c_8,c_7,Unknown,Unknown
model_1581,c_12,c_9,c_3,m_2,Unknown,Unknown
model_1582,c_9,c_3,c_7,c_12,Unknown,Unknown
model_1583,c_6,m_3,c_1,c_6,Unknown,Unknown
model_1584,c_4,c_6,c_8,c_5,Unknown,Unknown
