Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1,c_5,c_6,c_9,c_3,Unknown,Unknown
model_2,c_4,c_7,c_3,c_6,Unknown,Unknown
model_3,m_2,c_5,c_1,c_2,Unknown,Unknown
model_4,c_5,c_7,c_2,c_1,Unknown,Unknown
model_5,c_5,c_3,c_6,c_9,Unknown,Unknown
model_6,c_3,m_1,m_3,m_3,Unknown,Unknown
model_7,c_5,c_8,c_10,c_6,Unknown,Unknown
model_8,c_6,m_3,s,-,Unknown,Unknown
model_9,c_5,c_4,c_1,c_2,Unknown,Unknown
model_10,c_1,c_6,m_3,c_11,Unknown,Unknown
model_11,c_4,c_12,c_12,m_1,Unknown,Unknown
model_12,c_1,c_10,c_5,c_8,Unknown,Unknown
model_13,c_1,c_7,s,-,Unknown,Unknown
model_14,c_7,c_7,c_11,c_7,Unknown,Unknown
model_15,c_3,c_1,m_2,m_1,Unknown,Unknown
model_16,c_7,c_8,m_2,m_2,Unknown,Unknown
model_17,c_6,c_2,c_4,c_12,Unknown,Unknown
model_18,c_3,c_2,c_10,c_12,Unknown,Unknown
model_19,c_10,c_7,c_12,s,Unknown,Unknown
model_20,c_12,c_10,c_6,m_3,Unknown,Unknown
model_21,c_11,c_10,s,-,Unknown,Unknown
model_22,c_7,c_1,c_2,m_2,Unknown,Unknown
model_23,c_7,c_9,c_5,c_12,Unknown,Unknown
model_24,c_2,m_2,c_6,c_11,Unknown,Unknown
model_25,c_2,c_2,c_2,m_1,Unknown,Unknown
model_26,c_8,c_10,c_4,c_11,Unknown,Unknown
model_27,c_2,c_9,c_6,c_1,Unknown,Unknown
model_28,c_1,c_11,c_6,c_8,Unknown,Unknown
model_29,c_3,c_7,c_6,c_10,Unknown,Unknown
model_30,c_11,m_3,m_2,c_5,Unknown,Unknown
model_31,c_6,c_3,c_6,c_1,Unknown,Unknown
model_32,m_3,c_10,c_5,s,Unknown,Unknown
model_33,c_4,c_7,c_10,c_3,Unknown,Unknown
model_34,c_7,c_4,c_9,c_1,Unknown,Unknown
model_35,c_11,m_2,c_1,c_6,Unknown,Unknown
model_36,c_3,c_8,c_7,c_9,Unknown,Unknown
model_37,c_2,c_8,c_8,m_3,Unknown,Unknown
model_38,c_2,c_1,s,-,Unknown,Unknown
model_39,c_6,c_11,c_4,s,Unknown,Unknown
model_40,c_9,c_11,c_11,c_8,Unknown,Unknown
model_41,c_12,s,-,-,Unknown,Unknown
model_42,c_12,c_6,c_6,c_2,Unknown,Unknown
model_43,c_4,c_5,m_3,s,Unknown,Unknown
model_44,c_5,c_10,c_3,c_12,Unknown,Unknown
model_45,c_5,c_6,c_1,c_6,Unknown,Unknown
model_46,c_8,c_4,s,-,Unknown,Unknown
model_47,c_9,c_11,m_1,c_3,Unknown,Unknown
model_48,c_1,c_2,c_9,c_4,Unknown,Unknown
model_49,c_5,c_1,m_2,c_8,Unknown,Unknown
model_50,c_8,m_2,c_7,m_2,Unknown,Unknown
model_51,c_7,c_2,c_10,c_6,Unknown,Unknown
model_52,c_4,c_11,m_1,c_11,Unknown,Unknown
model_53,c_6,s,-,-,Unknown,Unknown
model_54,c_3,c_4,c_8,m_2,Unknown,Unknown
model_55,c_1,c_9,c_3,m_3,Unknown,Unknown
model_56,c_10,m_3,c_2,m_2,Unknown,Unknown
model_57,c_1,c_9,c_9,c_4,Unknown,Unknown
model_58,c_5,c_9,s,-,Unknown,Unknown
model_59,c_5,c_9,m_3,c_7,Unknown,Unknown
model_60,c_10,c_10,c_7,c_11,Unknown,Unknown
model_61,c_5,c_3,c_3,c_11,Unknown,Unknown
model_62,c_1,c_5,c_7,c_12,Unknown,Unknown
model_63,c_10,m_3,c_12,m_1,Unknown,Unknown
model_64,c_10,c_6,c_1,c_3,Unknown,Unknown
model_65,c_11,c_2,c_3,c_3,Unknown,Unknown
model_66,m_1,c_4,c_10,m_1,Unknown,Unknown
model_67,c_11,m_1,c_6,s,Unknown,Unknown
model_68,m_2,m_2,c_1,m_2,Unknown,Unknown
model_69,c_1,c_3,c_12,c_2,Unknown,Unknown
model_70,c_8,c_3,c_2,c_8,Unknown,Unknown
model_71,c_12,c_12,c_5,c_12,Unknown,Unknown
model_72,c_2,c_1,c_4,c_10,Unknown,Unknown
model_73,c_2,m_2,c_8,m_2,Unknown,Unknown
model_74,c_5,c_7,c_5,m_1,Unknown,Unknown
model_75,c_3,m_2,c_7,c_12,Unknown,Unknown
model_76,c_6,c_8,m_3,m_1,Unknown,Unknown
model_77,c_7,m_2,c_9,c_2,Unknown,Unknown
model_78,c_7,c_8,c_5,c_6,Unknown,Unknown
model_79,c_3,m_1,m_3,c_9,Unknown,Unknown
model_80,c_5,m_3,c_10,c_2,Unknown,Unknown
model_81,c_6,m_3,c_9,c_4,Unknown,Unknown
model_82,c_2,c_10,s,-,Unknown,Unknown
model_83,c_9,m_3,c_4,c_5,Unknown,Unknown
model_84,c_12,m_3,m_2,c_11,Unknown,Unknown
model_85,c_12,c_2,c_1,c_8,Unknown,Unknown
model_86,c_10,c_3,c_8,m_3,Unknown,Unknown
model_87,c_10,c_12,m_3,-,Unknown,Unknown
model_88,c_8,s,-,-,Unknown,Unknown
model_89,c_3,c_6,c_6,c_4,Unknown,Unknown
model_90,c_8,c_7,c_7,s,Unknown,Unknown
model_91,c_12,c_11,c_8,c_12,Unknown,Unknown
model_92,c_11,m_2,m_2,c_8,Unknown,Unknown
model_93,c_5,c_1,c_2,m_1,Unknown,Unknown
model_94,c_9,c_5,c_3,c_9,Unknown,Unknown
model_95,c_6,c_9,c_10,m_2,Unknown,Unknown
model_96,c_12,m_3,c_2,c_8,Unknown,Unknown
model_97,c_3,c_7,c_3,c_12,Unknown,Unknown
model_98,c_2,c_10,c_10,s,Unknown,Unknown
model_99,c_3,c_3,m_2,c_2,Unknown,Unknown
model_100,c_1,c_3,c_9,c_9,Unknown,Unknown
model_101,c_7,m_2,c_5,c_6,Unknown,Unknown
model_102,c_8,c_2,c_3,c_10,Unknown,Unknown
model_103,c_11,c_1,c_11,c_5,Unknown,Unknown
model_104,c_8,c_11,c_5,c_3,Unknown,Unknown
model_105,c_5,m_3,m_2,c_12,Unknown,Unknown
model_106,c_5,m_1,c_11,c_7,Unknown,Unknown
model_107,c_8,c_6,c_3,m_3,Unknown,Unknown
model_108,c_1,c_1,c_12,c_11,Unknown,Unknown
model_109,c_5,c_10,c_9,c_6,Unknown,Unknown
model_110,c_3,c_8,c_8,m_2,Unknown,Unknown
model_111,c_6,c_5,c_7,m_3,Unknown,Unknown
model_112,c_6,c_1,c_6,c_12,Unknown,Unknown
model_113,c_12,m_3,c_4,c_2,Unknown,Unknown
model_114,c_1,c_1,c_4,s,Unknown,Unknown
model_115,c_7,c_3,c_1,c_2,Unknown,Unknown
model_116,c_8,c_2,s,-,Unknown,Unknown
model_117,c_3,m_3,m_3,c_2,Unknown,Unknown
model_118,c_3,c_5,c_11,m_2,Unknown,Unknown
model_119,c_3,c_4,c_4,c_9,Unknown,Unknown
model_120,c_6,c_3,c_12,c_3,Unknown,Unknown
model_121,c_8,c_11,m_2,s,Unknown,Unknown
model_122,c_10,c_1,c_8,s,Unknown,Unknown
model_123,c_6,c_1,c_7,c_3,Unknown,Unknown
model_124,c_3,c_2,m_2,m_1,Unknown,Unknown
model_125,c_1,c_7,c_6,c_8,Unknown,Unknown
model_126,c_5,c_4,c_4,c_11,Unknown,Unknown
model_127,c_5,c_11,c_11,c_4,Unknown,Unknown
model_128,c_3,m_3,c_2,m_3,Unknown,Unknown
model_129,c_4,c_7,c_7,c_1,Unknown,Unknown
model_130,c_9,c_3,s,-,Unknown,Unknown
model_131,c_10,c_8,m_2,c_4,Unknown,Unknown
model_132,c_4,c_5,c_8,c_7,Unknown,Unknown
model_133,c_11,c_7,c_5,c_10,Unknown,Unknown
model_134,c_10,c_6,c_6,-,Unknown,Unknown
model_135,c_6,c_4,c_9,m_3,Unknown,Unknown
model_136,c_4,m_1,c_1,m_1,Unknown,Unknown
model_137,c_11,m_1,s,-,Unknown,Unknown
model_138,c_9,c_9,c_3,c_11,Unknown,Unknown
model_139,c_4,c_10,c_7,c_9,Unknown,Unknown
model_140,c_7,m_1,m_2,c_6,Unknown,Unknown
model_141,c_10,c_5,c_7,c_9,Unknown,Unknown
model_142,c_4,c_8,m_3,c_9,Unknown,Unknown
model_143,c_11,c_3,m_1,-,Unknown,Unknown
model_144,c_12,c_4,m_1,c_2,Unknown,Unknown
model_145,m_1,c_6,c_10,s,Unknown,Unknown
model_146,c_11,c_1,m_1,c_7,Unknown,Unknown
model_147,c_8,m_3,m_3,c_4,Unknown,Unknown
model_148,c_9,c_1,c_4,c_5,Unknown,Unknown
model_149,c_2,c_6,c_2,c_7,Unknown,Unknown
model_150,c_2,c_7,c_1,c_4,Unknown,Unknown
model_151,c_2,m_2,c_11,c_5,Unknown,Unknown
model_152,c_8,c_11,c_10,c_2,Unknown,Unknown
model_153,c_9,c_5,c_8,c_2,Unknown,Unknown
model_154,c_1,c_9,s,-,Unknown,Unknown
model_155,c_9,c_6,c_5,m_3,Unknown,Unknown
model_156,c_12,c_3,c_7,c_8,Unknown,Unknown
model_157,c_8,m_1,s,-,Unknown,Unknown
model_158,c_5,m_2,c_3,c_9,Unknown,Unknown
model_159,c_6,c_9,c_4,m_2,Unknown,Unknown
model_160,c_9,c_1,s,-,Unknown,Unknown
model_161,c_7,c_1,c_8,c_12,Unknown,Unknown
model_162,c_4,m_1,m_1,c_3,Unknown,Unknown
model_163,c_9,m_1,c_5,m_1,Unknown,Unknown
model_164,c_9,c_4,c_10,c_5,Unknown,Unknown
model_165,c_4,m_3,c_7,c_10,Unknown,Unknown
model_166,c_2,c_6,c_5,c_3,Unknown,Unknown
model_167,c_7,s,-,-,Unknown,Unknown
model_168,c_1,c_10,c_7,-,Unknown,Unknown
