Model,1st Layer,2nd Layer,3rd Layer,4th Layer
model_1,c_1,c_7,c_5,c_9
model_2,m_3,c_11,c_4,c_3
model_3,c_3,c_8,c_2,c_11
model_4,c_12,m_1,c_11,c_7
model_5,c_9,c_1,c_5,c_1
model_6,c_1,c_10,c_11,c_12
model_7,c_1,c_1,c_4,c_2
model_8,c_11,c_11,c_1,c_5
model_9,c_8,c_1,c_12,m_1
model_10,c_3,c_8,c_6,m_3
model_11,m_2,c_7,s,-
model_12,c_2,c_10,c_10,m_2
model_13,c_8,c_9,m_2,c_11
model_14,c_5,c_6,c_10,c_8
model_15,c_11,c_2,c_9,c_7
model_16,c_2,c_8,c_3,c_2
model_17,c_8,c_5,c_6,c_7
model_18,c_4,c_6,c_11,c_1
model_19,c_8,c_3,c_9,m_3
model_20,c_10,c_7,c_4,s
model_21,c_10,m_2,m_3,c_7
model_22,c_12,m_1,m_2,c_4
model_23,c_11,c_12,m_1,c_1
model_24,c_11,c_6,c_6,c_2
model_25,c_12,c_10,s,-
model_26,c_7,c_2,c_12,c_11
model_27,c_2,c_8,c_4,c_11
model_28,c_6,m_3,c_2,c_7
model_29,c_2,c_11,m_3,m_1
model_30,c_3,c_10,c_11,c_2
model_31,c_3,m_3,c_9,c_8
model_32,c_7,m_3,s,-
model_33,c_6,c_8,c_11,s
model_34,c_4,c_4,c_4,c_2
model_35,c_4,c_9,m_1,c_2
model_36,c_2,m_2,s,-
model_37,c_4,m_2,c_1,c_7
model_38,s,-,-,-
model_39,c_7,c_10,m_2,m_3
model_40,c_9,c_3,s,-
model_41,c_1,c_10,c_7,c_5
model_42,c_9,m_3,c_11,m_1
model_43,c_4,c_10,m_1,c_10
model_44,m_3,s,-,-
model_45,c_3,c_12,c_9,c_7
model_46,c_9,m_2,m_2,s
model_47,c_5,m_2,c_8,c_6
model_48,c_1,c_1,m_1,c_3
model_49,c_6,c_12,c_5,c_6
model_50,c_3,c_4,c_7,c_6
model_51,c_2,c_7,c_8,c_2
model_52,c_10,c_12,m_3,-
model_53,c_12,c_10,c_8,c_4
model_54,c_11,c_3,c_12,c_6
model_55,c_3,m_3,c_11,m_2
model_56,c_11,c_3,c_4,c_5
model_57,c_6,c_4,c_10,m_3
model_58,c_1,c_1,c_9,c_11
model_59,c_6,c_10,c_1,c_10
model_60,c_12,c_9,m_2,c_2
model_61,c_5,c_12,c_8,s
model_62,c_9,c_2,c_7,s
model_63,c_6,c_10,c_7,c_12
model_64,c_10,s,-,-
model_65,c_12,c_4,m_3,c_4
model_66,c_7,c_8,c_6,c_9
model_67,c_6,m_2,c_5,s
model_68,c_9,c_3,c_1,c_12
model_69,c_3,c_8,c_2,c_9
model_70,c_11,c_11,c_9,c_12
model_71,c_2,m_1,c_11,m_1
model_72,c_3,c_6,c_8,s
model_73,c_8,c_11,c_7,m_1
model_74,c_6,c_1,c_3,s
model_75,c_5,c_5,c_4,m_1
model_76,c_2,c_9,c_7,c_7
model_77,c_4,m_2,m_1,m_1
model_78,c_5,c_1,c_2,c_5
model_79,c_1,m_1,c_6,c_12
model_80,c_3,m_3,c_1,c_4
model_81,c_11,c_9,c_12,c_9
model_82,c_2,c_10,m_3,c_10
model_83,c_10,c_5,s,-
model_84,c_1,c_2,c_5,m_2
model_85,c_11,c_8,m_3,c_8
model_86,c_1,c_5,c_11,m_2
model_87,c_2,c_10,m_2,c_11
model_88,c_11,c_7,c_10,c_10
model_89,c_1,c_2,c_3,m_3
model_90,c_11,c_12,c_9,c_12
model_91,c_6,m_2,c_8,c_6
model_92,c_10,c_9,c_1,c_5
model_93,c_3,c_11,c_5,c_11
model_94,c_2,c_8,c_6,m_2
model_95,c_12,c_8,c_10,c_10
model_96,c_12,c_10,c_4,c_12
model_97,c_4,m_3,c_8,s
model_98,c_8,c_11,c_7,c_11
model_99,c_4,c_6,m_1,c_4
model_100,c_8,c_12,c_9,c_10
model_101,c_2,c_1,c_6,c_3
model_102,c_10,c_11,c_12,m_2
model_103,c_9,c_8,s,-
model_104,c_6,c_9,c_3,c_12
model_105,c_8,c_4,c_7,c_4
model_106,m_1,m_1,c_2,s
model_107,c_8,c_3,c_9,c_10
model_108,c_6,c_12,c_7,s
